Erdoitza,"LINESTRING(1427 457,1372 305,1244 209,1126 125,1103 -15,1135 -180,1179 -331,1241 -475,1308 -615,1386 -750,1464 -887,1523 -1030)",3.2,3,4,0
Erdoitza,"LINESTRING(1523 -1030,1577.0 -1356.9)",3.2,3,4,1
Ibabea,"LINESTRING(-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808,-50 -11808)",1.8,5,8,0
Ibabea,"LINESTRING(-50 -11808,111.3 -11570.9)",1.8,5,8,1
Irmele,"LINESTRING(-9949 -10817,-9949 -10817,-9949 -10817,-9931 -10816,-9912 -10777,-9892 -10737,-10019 -10739,-9938 -10602,-9937 -10466,-9994 -10329,-10025 -10178,-10046 -10019,-10074 -9865,-10118 -9713)",1.0,8,4,0
Irmele,"LINESTRING(-10118 -9713,-10322.4 -9480.0)",1.0,8,4,1
Havisa,"LINESTRING(477 -8659,468 -8511,387 -8372,414 -8252,542 -8175,689 -8137,843 -8073,1004 -8042,1166 -8019,1322 -7976,1440 -7891,1539 -7776)",6.2,3,4,0
Havisa,"LINESTRING(1539 -7776,1611.2 -7491.6)",6.2,3,4,1
Josinaa,"LINESTRING(-673 -8867,-673 -8867,-673 -8867,-673 -8867,-673 -8867,-673 -8867,-673 -8867,-673 -8867,-673 -8867,-673 -8867,-656 -8854,-626 -8831,-582 -8815,-537 -8841,-521 -8859,-495 -8839,-458 -8951,-477 -9093,-411 -9224,-265 -9275)",4.8,1,1,0
Josinaa,"LINESTRING(-265 -9275,53.4 -9277.6)",4.8,1,1,1
Avelyna,"LINESTRING(2750 -8376,2750 -8376,2750 -8376,2750 -8376,2750 -8376,2750 -8376,2750 -8376,2750 -8376,2750 -8376,2750 -8376,2750 -8376,2750 -8376,2769 -8318,2844 -8186,2874 -8027,2870 -7861,2777 -7785,2614 -7731,2457 -7723,2298 -7748)",1.6,3,2,0
Avelyna,"LINESTRING(2298 -7748,1958.2 -7795.0)",1.6,3,2,1
Foursia,"LINESTRING(-223 1635,-223 1635,-223 1635,-224 1635,-256 1625,-274 1601,-272 1580,-266 1567,-239 1663,-320 1725,-430 1708,-561 1680,-648 1611,-728 1666,-701 1816,-563 1799,-550 1647,-589 1492,-615 1344,-594 1213)",3.7,5,9,0
Foursia,"LINESTRING(-594 1213,-438.5 915.5)",3.7,5,9,1
Enion,"LINESTRING(2214 1057,2388 1038,2550 1042,2687 1071,2818 1142,2939 1258,3039 1379,3104 1530,3196 1626,3357 1675,3506 1715,3615 1754)",5.1,1,5,0
Enion,"LINESTRING(3615 1754,3911.0 1871.2)",5.1,1,5,1
Patrobus,"LINESTRING(3518 -917,3515 -919,3496 -917,3367 -869,3232 -889,3133 -1030,3014 -1110,2861 -1141,2701 -1151,2556 -1098,2445 -962,2329 -888,2168 -922,2017 -933,1868 -897)",0.7,8,7,0
Patrobus,"LINESTRING(1868 -897,1632.2 -679.5)",0.7,8,7,1
Adaluuidisb,"LINESTRING(4617 -396,4473 -314,4371 -214,4375 -77,4386 79,4356 230,4261 358,4178 507,4145 654,4119 816,4084 970,4048 1115)",0.1,2,3,0
Adaluuidisb,"LINESTRING(4048 1115,3959.7 1392.6)",0.1,2,3,1
Radborg,"LINESTRING(1444 1351,1444 1351,1444 1351,1444 1351,1444 1351,1444 1351,1444 1351,1444 1351,1444 1351,1444 1351,1443 1336,1435 1328,1435 1328,1442 1340,1449 1346,1449 1346,1449 1346,1449 1346,1439 1339)",0.4,3,2,0
Radborg,"LINESTRING(1439 1339,1478.0 968.7)",0.4,3,2,1
Eue,"LINESTRING(-11643 2642,-11643 2642,-11643 2642,-11688 2587,-11718 2525,-11663 2646,-11641 2792,-11610 2920,-11457 2974,-11334 3027,-11203 2978,-11130 2852,-10992 2875,-10841 2863)",5.2,1,8,0
Eue,"LINESTRING(-10841 2863,-10535.6 2907.3)",5.2,1,8,1
Jollan,"LINESTRING(-14634 5101,-14605 5041,-14561 4998,-14515 4963,-14497 4844,-14503 4695)",3.1,4,11,0
Jollan,"LINESTRING(-14503 4695,-14531.1 4373.9)",3.1,4,11,1
Gilpina,"LINESTRING(2736 -8365,2736 -8365,2736 -8365,2737 -8363,2822 -8241,2863 -8080,2888 -7927,2821 -7813,2685 -7748,2504 -7720,2360 -7737,2180 -7771,2013 -7793,1878 -7783)",0.4,1,5,0
Gilpina,"LINESTRING(1878 -7783,1697.8 -7555.5)",0.4,1,5,1
Euripidesa,"LINESTRING(-13699 -4877,-13699 -4877,-13699 -4877,-13699 -4877,-13699 -4877,-13699 -4877,-13741 -4977,-13882 -4995,-13884 -4846,-13795 -4739,-13668 -4640,-13515 -4586,-13352 -4557,-13180 -4538)",3.8,8,7,0
Euripidesa,"LINESTRING(-13180 -4538,-12891.9 -4598.6)",3.8,8,7,1
Wymerus,"LINESTRING(-13380 -852,-13380 -852,-13380 -852,-13380 -852,-13380 -852,-13380 -852,-13380 -852,-13380 -852,-13380 -852,-13380 -852,-13380 -852,-13380 -852,-13380 -852,-13380 -852)",1.9,4,11,0
Wymerus,"LINESTRING(-13380 -852,-13635.8 -828.0)",1.9,4,11,1
Blancha,"LINESTRING(-11178 3774,-11178 3774,-11178 3774,-11276 3776,-11362 3881,-11309 4016,-11160 3970,-11065 3858,-11011 3703,-11012 3566,-11046 3430,-11064 3288,-11014 3149,-10939 3011)",4.4,3,5,0
Blancha,"LINESTRING(-10939 3011,-10693.9 2826.2)",4.4,3,5,1
Bob,"LINESTRING(-11182 3778,-11182 3778,-11182 3778,-11186 3777,-11337 3803,-11343 3973,-11230 4007,-11101 3921,-11032 3775,-11005 3625,-11026 3496,-11074 3341,-11034 3221,-10980 3073)",4.2,7,9,0
Bob,"LINESTRING(-10980 3073,-10768.2 2852.8)",4.2,7,9,1
Synesius,"LINESTRING(5308 2287,5308 2287,5303 2300,5257 2312,5117 2254,4985 2152,4915 2025,4880 1860,4795 1761,4636 1720,4490 1726,4326 1748,4151 1776,3978 1804)",1.9,2,7,0
Synesius,"LINESTRING(3978 1804,3668.0 1815.5)",1.9,2,7,1
Gilesindoa,"LINESTRING(-13589 -4916,-13589 -4916,-13589 -4916,-13609 -4906,-13658 -4887,-13695 -4874,-13732 -4929,-13779 -5042,-13745 -5184,-13740 -5343,-13769 -5478,-13731 -5642,-13720 -5785,-13802 -5916)",1.3,2,9,0
Gilesindoa,"LINESTRING(-13802 -5916,-14071.0 -5909.1)",1.3,2,9,1
Maggote,"LINESTRING(2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2191 -7507,2302 -7565,2415 -7682,2552 -7762,2598 -7902,2569 -8044,2529 -8184,2520 -8339)",3.2,6,11,0
Maggote,"LINESTRING(2520 -8339,2568.5 -8655.1)",3.2,6,11,1
Tirrell,"LINESTRING(1094 -6613,1094 -6613,1082 -6612,1030 -6603,1057 -6571,1060 -6524,1066 -6479,1110 -6463,1151 -6482,1173 -6527,1168 -6595,1169 -6744,1223 -6884,1347 -6964)",3.4,3,2,0
Tirrell,"LINESTRING(1347 -6964,1551.3 -7178.0)",3.4,3,2,1
